match_group_id,source,source_id,country,start_date,end_date
1534,DFO,DFO-2444,Australia,2004-03-01,2004-03-09
1534,EM-DAT,2004-0091-AUS,Australia,2004-01-14,2004-02-25
1535,DFO,DFO-2393,Brazil,2003-11-29,2003-11-30
1535,DFO,DFO-2418,Brazil,2004-01-10,2004-03-08
1535,DFO,DFO-2440,Brazil,2004-02-11,2004-05-05
1535,DFO,DFO-2443,Bolivia (Plurinational State of) • Brazil,2004-02-23,2004-04-01
1535,EM-DAT,2003-0579-BRA,Brazil,2003-11-29,2003-11-29
1535,EM-DAT,2003-0673-BRA,Brazil,2003-12-01,2004-02-19
1536,DFO,DFO-2437,Indonesia,2004-02-17,2004-02-25
1536,DFO,DFO-2438,Indonesia,2004-02-18,2004-02-23
1536,DFO,DFO-2439,Indonesia,2004-02-22,2004-02-25
1536,EM-DAT,2004-0098-IDN,Indonesia,2004-02-18,2004-02-23
1537,DFO,DFO-2435,New Zealand,2004-02-13,2004-02-25
1537,EM-DAT,2004-0067-NZL,New Zealand,2004-02-13,2004-02-25
1538,DFO,DFO-2434,Philippines,2004-02-11,2004-02-25
1538,EM-DAT,2004-0087-PHL,Philippines,2004-02-11,2004-02-26
1539,DFO,DFO-2425,Angola • Namibia,2004-01-27,2004-03-01
1539,DFO,DFO-2430,Namibia • Zambia,2004-02-01,2004-06-02
1539,EM-DAT,2004-0019-AGO,Angola,2004-01-27,2004-03-01
1539,EM-DAT,2004-0159-NAM,Namibia,2004-02-01,2004-06-02
1539,EM-DAT,2004-0159-ZMB,Zambia,2004-02-01,2004-06-02
1539,EM-DAT,2004-0159-AGO,Angola,2004-02-01,2004-06-02
1539,EM-DAT,2004-0149-NAM,Namibia,2004-03-01,2004-03-01
1540,DFO,DFO-2422,Malaysia,2004-01-24,2004-02-03
1540,EM-DAT,2004-0050-MYS,Malaysia,2004-01-24,2004-02-03
1541,DFO,DFO-2419,Afghanistan,2004-01-15,2004-01-17
1541,EM-DAT,2004-0022-AFG,Afghanistan,2004-01-15,2004-01-17
1542,DFO,DFO-2409,Bolivia (Plurinational State of),2003-12-22,2003-12-26
1542,DFO,DFO-2416,Bolivia (Plurinational State of),2004-01-10,2004-01-11
1542,EM-DAT,2003-0621-BOL,Bolivia (Plurinational State of),2003-12-22,2004-01-22
1543,DFO,DFO-2414,Peru,2004-01-08,2004-01-10
1543,EM-DAT,2003-0644-PER,Peru,2003-12-28,2004-01-14
1544,DFO,DFO-2408,United Republic of Tanzania,2003-12-20,2003-12-21
1544,EM-DAT,2003-0620-TZA,United Republic of Tanzania,2003-12-20,2003-12-21
1545,DFO,DFO-2401,Malaysia,2003-11-30,2003-12-18
1545,DFO,DFO-2406,Malaysia,2003-12-17,2004-01-10
1545,EM-DAT,2003-0604-MYS,Malaysia,2003-11-29,2003-12-02
1545,EM-DAT,2003-0655-MYS,Malaysia,2003-12-17,2004-01-05
1546,DFO,DFO-2405,Costa Rica,2003-12-12,2003-12-14
1546,EM-DAT,2003-0659-CRI,Costa Rica,2003-12-12,2003-12-14
1547,DFO,DFO-2402,Thailand,2003-12-10,2003-12-15
1547,EM-DAT,2003-0617-THA,Thailand,2003-12-11,2003-12-11
1548,DFO,DFO-2389,Indonesia,2003-11-22,2003-11-24
1548,DFO,DFO-2397,Indonesia,2003-11-30,2003-12-06
1548,DFO,DFO-2399,Indonesia,2003-12-05,2003-12-10
1548,DFO,DFO-2403,Indonesia,2003-12-10,2004-01-23
1548,EM-DAT,2003-0593-IDN,Indonesia,2003-11-30,2003-12-06
1548,EM-DAT,2003-0776-IDN,Indonesia,2003-12-10,2004-01-05
1549,DFO,DFO-2396,Australia,2003-12-02,2003-12-03
1549,EM-DAT,2003-0587-AUS,Australia,2003-12-02,2003-12-02
1550,DFO,DFO-2395,France,2003-12-01,2003-12-10
1550,EM-DAT,2003-0586-FRA,France,2003-12-01,2003-12-10
1551,DFO,DFO-2373,Colombia,2003-10-29,2003-11-04
1551,DFO,DFO-2394,Colombia,2003-11-29,2003-12-01
1551,EM-DAT,2003-0578-COL,Colombia,2003-08-01,2003-12-01
1552,DFO,DFO-2392,Honduras,2003-11-28,2003-12-24
1552,EM-DAT,2003-0661-HND,Honduras,2003-11-28,2003-12-24
1553,DFO,DFO-2382,United States of America,2003-11-12,2003-11-13
1553,DFO,DFO-2388,United States of America,2003-11-19,2003-11-22
1553,EM-DAT,2003-0663-USA,United States of America,2003-11-12,2003-11-13
1554,DFO,DFO-2387,Morocco,2003-11-17,2003-11-21
1554,EM-DAT,2003-0556-MAR,Morocco,2003-11-17,2003-11-18
1555,DFO,DFO-2383,Viet Nam,2003-11-12,2003-11-17
1555,EM-DAT,2003-0557-VNM,Viet Nam,2003-11-11,2003-11-14
1556,DFO,DFO-2379,Saudi Arabia,2003-11-10,2003-11-11
1556,EM-DAT,2003-0538-SAU,Saudi Arabia,2003-11-11,2003-11-11
1557,DFO,DFO-2377,Indonesia,2003-11-02,2003-11-03
1557,EM-DAT,2003-0531-IDN,Indonesia,2003-11-02,2003-11-03
1558,DFO,DFO-2374,Rwanda,2003-10-30,2003-10-31
1558,EM-DAT,2003-0563-RWA,Rwanda,2003-10-30,2003-10-30
1559,DFO,DFO-2372,Brazil,2003-10-27,2003-10-31
1559,EM-DAT,2003-0521-BRA,Brazil,2003-10-27,2003-10-31
1560,DFO,DFO-2366,United States of America • Mexico,2003-10-12,2003-10-24
1560,DFO,DFO-2369,Canada • United States of America,2003-10-17,2003-10-26
1560,EM-DAT,2003-0511-CAN,Canada,2003-10-17,2003-10-26
1560,EM-DAT,2003-0511-USA,United States of America,2003-10-17,2003-10-26
1561,DFO,DFO-2347,Thailand,2003-09-12,2003-10-12
1561,DFO,DFO-2370,Thailand,2003-10-17,2003-11-04
1561,EM-DAT,2003-0774-THA,Thailand,2003-10-03,2003-10-25
1561,EM-DAT,2003-0561-THA,Thailand,2003-10-15,2003-10-15
1562,DFO,DFO-2367,Algeria,2003-10-15,2003-10-18
1562,EM-DAT,2003-0503-DZA,Algeria,2003-10-15,2003-10-18
1563,DFO,DFO-2368,Viet Nam,2003-10-15,2003-10-22
1563,EM-DAT,2003-0505-VNM,Viet Nam,2003-10-15,2003-10-22
1564,DFO,DFO-2364,Malaysia,2003-10-03,2003-10-25
1564,EM-DAT,2003-0774-MYS,Malaysia,2003-10-03,2003-10-25
1565,DFO,DFO-2311,Nigeria,2003-08-05,2003-10-12
1565,DFO,DFO-2314,Nigeria,2003-08-05,2003-10-12
1565,DFO,DFO-2345,Nigeria,2003-09-05,2003-10-28
1565,DFO,DFO-2361,Nigeria,2003-09-22,2003-10-10
1565,EM-DAT,2003-0455-NGA,Nigeria,2003-09-05,2003-10-28
1566,DFO,DFO-2261,China,2003-06-23,2003-07-28
1566,DFO,DFO-2269,China,2003-07-01,2003-08-07
1566,DFO,DFO-2278,China,2003-07-12,2003-07-15
1566,DFO,DFO-2291,China,2003-07-23,2003-07-25
1566,DFO,DFO-2296,China,2003-07-27,2003-10-10
1566,DFO,DFO-2301,China,2003-07-30,2003-08-01
1566,DFO,DFO-2321,China,2003-08-01,2003-08-25
1566,DFO,DFO-2332,China,2003-08-24,2003-11-12
1566,DFO,DFO-2328,China • Viet Nam,2003-08-25,2003-08-26
1566,DFO,DFO-2337,China,2003-08-26,2003-08-30
1566,DFO,DFO-2353,China,2003-09-20,2003-09-22
1566,EM-DAT,2003-0315-CHN,China,2003-06-23,2003-07-28
1566,EM-DAT,2003-0331-CHN,China,2003-07-01,2003-08-07
1566,EM-DAT,2003-0440-CHN,China,2003-08-24,2003-11-12
1566,EM-DAT,2003-0724-CHN,China,2003-09-20,2003-09-22
1567,DFO,DFO-2346,Viet Nam,2003-09-10,2003-09-14
1567,EM-DAT,2003-0672-VNM,Viet Nam,2003-09-10,2003-09-14
1568,DFO,DFO-2248,Bangladesh • India,2003-06-11,2003-10-10
1568,DFO,DFO-2257,Bangladesh,2003-06-19,2003-07-03
1568,DFO,DFO-2260,India,2003-06-20,2003-06-26
1568,DFO,DFO-2258,India,2003-06-21,2003-06-24
1568,DFO,DFO-2279,Pakistan • India,2003-07-15,2003-09-01
1568,DFO,DFO-2299,India,2003-07-29,2003-08-02
1568,DFO,DFO-2312,India,2003-07-29,2003-08-03
1568,DFO,DFO-2338,India,2003-08-27,2003-10-20
1568,DFO,DFO-2343,Pakistan,2003-09-05,2003-09-06
1568,EM-DAT,2003-0283-IND,India,2003-06-11,2003-10-10
1568,EM-DAT,2003-0283-BGD,Bangladesh,2003-06-11,2003-10-10
1568,EM-DAT,2003-0303-BGD,Bangladesh,2003-06-19,2003-07-03
1568,EM-DAT,2003-0387-PAK,Pakistan,2003-07-15,2003-09-01
1568,EM-DAT,2003-0387-IND,India,2003-07-15,2003-09-01
1568,EM-DAT,2003-0719-IND,India,2003-07-16,2003-07-16
1568,EM-DAT,2003-0359-PAK,Pakistan,2003-07-22,2003-08-05
1568,EM-DAT,2003-0720-IND,India,2003-08-07,2003-08-07
1568,EM-DAT,2003-0683-IND,India,2003-08-27,2003-10-20
1568,EM-DAT,2003-0681-PAK,Pakistan,2003-09-05,2003-09-09
1568,EM-DAT,2003-0775-IND,India,2003-09-10,2003-09-10
1569,DFO,DFO-2339,Haiti,2003-08-29,2003-08-30
